prev_Asl,prev_Ash,beta,epsilon,psi,sigma,nu,mu,rho,eta,kappa,notifiedprev
0.009282387,0.007740301,0.360886059,0.082880809,0.26170627,106.2832184,2.671004741,106.4338693,55.51671377,0.440249871,1,0.38
0.020857777,0.001808435,0.459097549,0.02410334,0.313143267,57.4014549,3.674589147,95.11215466,45.9889659,0.437648502,1,0.38
0.010859138,0.009683178,0.262809186,0.263036696,0.248413688,92.73713989,1.757831676,75.46781384,50.89798918,0.445127638,1,0.38
0.004062834,0.010901605,0.286641969,0.318133711,0.287858871,47.53184544,2.016926034,104.0543222,55.02533537,0.442791816,1,0.38
0.012093342,0.005436415,0.482276238,0.001687461,0.249052925,71.50906061,4.083843178,381.2014656,52.84830327,0.442664629,1,0.38
0.011553436,0.008486498,0.28337353,0.102938779,0.237164257,71.84884873,1.950997637,68.30661115,56.30465809,0.446886374,1,0.38
0.003878456,0.010116089,0.342520485,0.523757153,0.376611665,62.58519378,2.38383212,312.0154373,49.89841782,0.43503067,1,0.38
0.006329628,0.016815712,0.189019227,0.770401899,0.174579154,87.08685025,1.161110948,182.6104307,59.56863372,0.453292439,1,0.38
0.009922163,0.011465065,0.248459845,0.418680913,0.240540328,98.01096332,1.658156798,106.5696041,60.60607629,0.445489834,1,0.38
0.010841447,0.007335799,0.354199112,0.30682312,0.268868985,87.70081614,2.724665314,104.1290688,48.32643418,0.440012887,1,0.38
0.011479415,0.007561052,0.362937046,0.192541851,0.238744804,73.58270411,2.90409948,125.179281,51.3215527,0.443391709,1,0.38
0.006904965,0.008047078,0.385730236,0.206597092,0.286921882,47.44967515,3.191913126,56.98958361,60.70707172,0.439479001,1,0.38
0.008145231,0.012613923,0.205821053,0.326581507,0.240075021,75.99678651,1.215471322,28.06821918,54.31441796,0.447362869,1,0.38
0.005455559,0.010613384,0.269595035,0.399363282,0.28681677,86.34796239,1.753127767,193.2207195,42.34504212,0.440491221,1,0.38
0.007408275,0.013214421,0.216528123,0.628915371,0.22599287,64.77207203,1.412213349,237.2176542,49.81442108,0.448584739,1,0.38
0.009454336,0.009660787,0.34036931,0.390420835,0.205585276,99.57036378,2.806887258,199.7447362,53.70538482,0.445265295,1,0.38
0.004854019,0.006909654,0.365264978,0.485782205,0.313803265,63.63247128,2.908940358,67.63025261,50.02261302,0.437192747,1,0.38
0.009850417,0.008046417,0.343705302,0.315563631,0.271247879,110.692799,2.591900443,154.1428203,47.10113585,0.439396441,1,0.38
0.005587865,0.009951837,0.297694885,0.620475169,0.261709008,88.35634723,2.258565279,128.7510535,60.76475312,0.440523257,1,0.38
0.001241464,0.012115775,0.302173444,0.381653813,0.332793095,68.13089455,2.119810307,41.10599091,50.57163086,0.439867794,1,0.38
0.008990909,0.006702482,0.285940464,0.65602919,0.386979779,71.04711905,1.786518521,79.38486673,66.53358479,0.433521631,1,0.38
0.010601989,0.008707934,0.25571753,0.098837227,0.256834706,79.20402688,1.636089242,32.01813776,47.00642383,0.444713667,1,0.38
0.003647612,0.008342779,0.40639668,0.236145732,0.338674328,83.34277914,3.137799253,36.92938648,49.52646073,0.439268158,1,0.38
0.005386736,0.0126071,0.259478335,0.249211671,0.213941147,68.26762734,1.816612595,81.09093119,47.4593901,0.448299316,1,0.38
0.010983927,0.010257457,0.291614554,0.274334036,0.222276515,101.6104018,2.165720057,55.7713885,49.0341702,0.445314358,1,0.38
0.004956408,0.015786358,0.183669654,0.549425434,0.211306896,60.41075075,1.012435897,281.605485,49.16185642,0.448250676,1,0.38
0.00977087,0.00984751,0.250359729,0.2719697,0.186275763,69.15643443,1.736611382,168.7857787,47.73488455,0.446285777,1,0.38
0.00773501,0.011850464,0.276841499,0.183907685,0.259231181,78.17806448,1.865789277,200.1162177,59.05001537,0.442733347,1,0.38
0.011486198,0.009320085,0.259488935,0.503445659,0.254212276,89.97614487,1.779781611,400.0506348,55.37801535,0.443172373,1,0.38
0.00537231,0.007050095,0.335309381,0.56727089,0.341455161,84.65031131,2.494636169,45.83160568,47.41869385,0.440282858,1,0.38
0.012751531,0.009845667,0.211595752,0.400750542,0.209368902,62.44370369,1.324260997,147.8771889,63.08549578,0.450038055,1,0.38
0.007408275,0.013214421,0.216528123,0.628915371,0.22599287,64.77207203,1.412213349,237.2176542,49.81442108,0.448584739,1,0.38
0.006477211,0.011313691,0.26961138,0.699212458,0.201443601,119.4571379,2.084190211,72.14474006,57.90925079,0.445086613,1,0.38
0.011078796,0.006093792,0.34849838,0.184781658,0.300083115,86.0681161,2.486936726,67.28126244,48.26058401,0.438018236,1,0.38
0.004563652,0.011069561,0.251677332,0.018905678,0.279728865,99.28958296,1.479144645,64.61096541,50.90355611,0.442082611,1,0.38
0.004834936,0.015043939,0.196459294,0.674049975,0.204418925,82.12719764,1.179523983,148.269496,40.8505696,0.44713738,1,0.38
0.008399342,0.006405148,0.45389679,0.019766653,0.318373419,70.65464003,3.447602071,244.8983905,64.26547577,0.439797533,1,0.38
0.01313571,0.006930523,0.311232168,0.593476052,0.275006692,66.62078091,2.42436138,173.3597968,49.77478711,0.440149109,1,0.38
