beta,eta_l,eta_h,epsilon,mu,nu,psi,rho,sigma,prev_Ash,prev_Asl,kappa,notifiedprev
0.432830661,0.336677377,0.71796392,0.94420251,98.11792627,3.372202803,0.121044407,44.46520247,95.19225518,0.069864584,0.009106349,1,0.38
0.331686155,0.369738901,0.552380449,0.542778042,172.337642,2.348802651,0.131072292,58.06038425,78.23806506,0.064334835,0.004677636,1,0.38
0.452106984,0.318633635,0.752386824,0.244910279,294.6264154,3.761132883,0.121323546,55.56963612,64.83720728,0.036695016,0.002283062,1,0.38
0.381142296,0.372430008,0.554889465,0.977555633,221.1204183,2.803717584,0.126972166,56.38251645,78.08115748,0.065288683,0.00933303,1,0.38
0.387381922,0.336499089,0.839011167,0.874340019,191.7791755,3.118663577,0.153851854,54.53292965,83.21203137,0.043378301,0.008898482,1,0.38
0.269974582,0.387061806,0.543936608,0.798930722,197.1483675,1.693313385,0.174815768,55.97157309,103.6924772,0.071026689,0.003027864,1,0.38
0.357110119,0.37831617,0.649967133,0.65031474,182.5861036,2.679311636,0.138890323,56.85381701,76.60535276,0.08323084,0.004727983,1,0.38
0.346522704,0.357588467,0.775045537,0.733995216,557.2854587,2.471323678,0.159295342,43.05761415,87.86628071,0.05415052,0.008544632,1,0.38
0.290944472,0.387613128,0.766937774,0.889413157,222.7791118,1.989285562,0.197973642,57.1440214,94.85332582,0.064080685,0.008665316,1,0.38
0.490191181,0.335500892,0.799070594,0.405684763,115.7844159,3.975554264,0.125199268,47.34571533,91.85497272,0.043782613,0.006134862,1,0.38
0.329284703,0.373251211,0.906926581,0.697298425,211.6410386,2.211065105,0.211779487,58.01974522,147.4468992,0.053059237,0.009730786,1,0.38
0.349079681,0.318733804,0.987556548,0.370178961,141.0831828,2.267591625,0.195316629,63.95306539,99.60827142,0.048287916,0.009718247,1,0.38
0.425644217,0.282110938,1.083339309,0.490129136,109.6602667,3.307601546,0.167730861,49.97265508,83.62143079,0.031209258,0.006621834,1,0.38
0.611691748,0.304509753,0.853673525,0.355263879,120.8342433,5.30695096,0.10840471,60.14708908,104.7094268,0.04883641,0.002158232,1,0.38
0.410397836,0.295987703,0.935015933,0.924299858,249.2586659,3.31344592,0.162603384,49.77023305,76.11005529,0.039279491,0.006900903,1,0.38
0.477193442,0.386472441,0.720210476,0.849795332,113.8902381,4.310351098,0.122022293,52.45923881,73.34468382,0.054515599,0.005089867,1,0.38
0.413910072,0.355737409,0.719259381,0.891973154,137.7806158,3.535059989,0.131008373,43.10851757,90.77781426,0.065100054,0.009917175,1,0.38
0.324179053,0.342999142,0.698338305,0.837406762,466.2301795,2.199891584,0.167639344,64.84510726,126.5926786,0.050212698,0.009920127,1,0.38
0.439105696,0.379677716,0.636448966,0.670129738,169.3516663,3.231455305,0.120019594,54.74199088,109.7816431,0.089224532,0.000918454,1,0.38
0.35482983,0.32106567,0.999943326,0.473327659,186.7267748,2.443760393,0.203491838,56.85921486,109.6395757,0.039156724,0.008738428,1,0.38
0.298153448,0.354357489,0.897930356,0.870137719,404.9076996,2.030234953,0.206816691,52.83691663,81.82473573,0.051644077,0.00362236,1,0.38
0.288320082,0.369374523,0.50951779,0.720506079,204.710236,1.908766427,0.156254301,55.29822855,87.64116746,0.075604764,0.001944997,1,0.38
0.442686841,0.31048062,0.722934146,0.875803773,176.4569381,3.734072322,0.129836011,43.0233367,39.26635562,0.059351407,0.009870045,1,0.38
0.310332413,0.397142251,0.575357666,0.562672878,235.2556135,2.019602522,0.159421961,47.77431025,101.2131184,0.067408259,0.00226797,1,0.38
