eta_l,eta_h,epsilon,mu,nu,psi,rho,sigma,lambda
0,4,0.323382667,201.0116903,2.323117165,0.134688982,46.64295412,113.405836,1.5
0,4,0.591550652,111.6407428,2.013295491,0.166349708,61.20439208,82.41087524,1.5
0,4,0.390832533,128.7689556,2.434537351,0.143588374,48.12709486,109.8995018,1.5
0,4,0.772126427,220.4372884,1.522493277,0.184483196,50.00658268,91.88075252,1.5
0,4,0.362935688,310.0677612,4.067938009,0.098780604,60.97837555,75.82908086,1.5
0,4,0.578364869,237.782382,2.52014859,0.113411204,54.63574817,238.7873127,1.5
0,4,0.611902052,261.3108693,2.665127459,0.147952049,54.16631341,77.47281708,1.5
0,4,0.22293558,231.2928927,2.427907151,0.194967709,49.57839725,94.96859554,1.5
0,4,0.596669866,151.7327126,2.35974601,0.151476904,54.32837282,66.01550991,1.5
0,4,0.94420251,98.11792627,3.372202803,0.121044407,44.46520247,95.19225518,1.5
0,4,0.542778042,172.337642,2.348802651,0.131072292,58.06038425,78.23806506,1.5
0,4,0.244910279,294.6264154,3.761132883,0.121323546,55.56963612,64.83720728,1.5
0,4,0.977555633,221.1204183,2.803717584,0.126972166,56.38251645,78.08115748,1.5
0,4,0.874340019,191.7791755,3.118663577,0.153851854,54.53292965,83.21203137,1.5
0,4,0.798930722,197.1483675,1.693313385,0.174815768,55.97157309,103.6924772,1.5
0,4,0.65031474,182.5861036,2.679311636,0.138890323,56.85381701,76.60535276,1.5
0,4,0.733995216,557.2854587,2.471323678,0.159295342,43.05761415,87.86628071,1.5
0,4,0.889413157,222.7791118,1.989285562,0.197973642,57.1440214,94.85332582,1.5
0,4,0.405684763,115.7844159,3.975554264,0.125199268,47.34571533,91.85497272,1.5
0,4,0.697298425,211.6410386,2.211065105,0.211779487,58.01974522,147.4468992,1.5
0,4,0.370178961,141.0831828,2.267591625,0.195316629,63.95306539,99.60827142,1.5
0,4,0.490129136,109.6602667,3.307601546,0.167730861,49.97265508,83.62143079,1.5
0,4,0.355263879,120.8342433,5.30695096,0.10840471,60.14708908,104.7094268,1.5
0,4,0.924299858,249.2586659,3.31344592,0.162603384,49.77023305,76.11005529,1.5
0,4,0.849795332,113.8902381,4.310351098,0.122022293,52.45923881,73.34468382,1.5
0,4,0.891973154,137.7806158,3.535059989,0.131008373,43.10851757,90.77781426,1.5
0,4,0.837406762,466.2301795,2.199891584,0.167639344,64.84510726,126.5926786,1.5
0,4,0.670129738,169.3516663,3.231455305,0.120019594,54.74199088,109.7816431,1.5
0,4,0.473327659,186.7267748,2.443760393,0.203491838,56.85921486,109.6395757,1.5
0,4,0.870137719,404.9076996,2.030234953,0.206816691,52.83691663,81.82473573,1.5
0,4,0.720506079,204.710236,1.908766427,0.156254301,55.29822855,87.64116746,1.5
0,4,0.875803773,176.4569381,3.734072322,0.129836011,43.0233367,39.26635562,1.5
0,4,0.562672878,235.2556135,2.019602522,0.159421961,47.77431025,101.2131184,1.5
0,4,0.436987626,234.5236298,3.520490822,0.128295985,49.36762988,113.2565254,1.5
0,4,0.408688862,242.6296256,3.188784082,0.146894946,46.97282101,78.84392817,1.5
0,4,0.174560521,350.0709951,2.57142477,0.150045314,51.45186201,125.2773188,1.5
0,4,0.714688576,225.5274396,2.322998328,0.187673521,54.38624602,121.4065161,1.5
0,4,0.773905868,140.9712743,1.673266573,0.286093376,62.07997859,105.8676366,1.5
0,4,0.971660325,250.6754917,3.08032874,0.114116082,56.33245768,68.40400296,1.5
0,4,0.359485377,172.8318272,2.491980118,0.137086489,46.6097647,89.58102771,1.5
0,4,0.251292066,235.7936682,4.139464866,0.089299351,57.42287844,84.77165161,1.5
0,4,0.046805074,101.3403015,2.167742104,0.128265944,57.73257077,96.82219679,1.5
0,4,0.506368035,194.7801248,4.382048,0.116563793,66.3786739,80.65566298,1.5
0,4,0.596431299,251.567292,2.695622313,0.163844139,51.85260082,171.0130309,1.5
0,4,0.732862692,206.1139999,2.422521912,0.129403894,60.1666415,79.20553996,1.5
0,4,0.663355889,81.49124,2.905768495,0.248230489,61.39633648,68.95013466,1.5
0,4,0.649160259,155.170329,3.297750555,0.133148254,57.88868189,61.2758581,1.5
0,4,0.491794822,68.65506299,2.756753543,0.148071978,50.3210885,99.25145795,1.5
0,4,0.517729784,207.5836671,2.153276265,0.163754198,50.43765963,101.9650873,1.5
0,4,0.435481966,190.7613266,3.140827098,0.11350611,49.12146086,109.742068,1.5
0,4,0.734093499,107.8674304,1.677338156,0.261318992,59.09936267,69.81521349,1.5
0,4,0.451706768,187.203562,1.923302092,0.190328181,46.38395045,69.83440535,1.5
0,4,0.454796214,311.3254922,2.312964698,0.183154465,48.64906001,80.91261182,1.5
0,4,0.606914122,122.8346505,2.177761874,0.136670482,52.67178639,130.1577736,1.5
0,4,0.733219488,111.3713628,3.850422971,0.079367103,56.21085513,69.3411706,1.5
0,4,0.733691304,245.6329906,1.606399932,0.205067066,57.87560856,104.1148778,1.5
0,4,0.537971964,163.4528216,3.135224941,0.106180157,75.10345612,99.57322204,1.5
0,4,0.109910082,181.2682229,3.343812467,0.149918739,60.72302905,122.6008892,1.5
0,4,0.733170526,205.7230955,2.619208591,0.204937781,57.02403505,85.96069727,1.5
0,4,0.48267249,150.069654,3.088557808,0.090477819,61.53109039,98.12101552,1.5
0,4,0.184057296,129.2581478,2.305078104,0.195495818,57.47248373,128.1767171,1.5
0,4,0.619729139,284.3306969,2.75061073,0.140952517,62.83870357,56.43353386,1.5
0,4,0.562672878,235.2556135,2.019602522,0.159421961,47.77431025,101.2131184,1.5
0,4,0.802050283,162.0497139,2.921567684,0.131936337,55.29110567,85.4307997,1.5
0,4,0.723935842,133.9405922,3.27004105,0.153239992,46.20469816,64.64485553,1.5
0,4,0.789863316,149.0046028,3.525754647,0.149271589,60.30044055,124.961455,1.5
0,4,0.733170526,205.7230955,2.619208591,0.204937781,57.02403505,85.96069727,1.5
0,4,0.508456859,110.902745,3.040443457,0.147179953,72.02273799,86.44258384,1.5
0,4,0.87044392,129.6414996,2.458675012,0.163109835,66.30195126,69.15774367,1.5
0,4,0.252300686,290.8291763,4.081061595,0.1140755,49.66091944,92.94305969,1.5
0,4,0.854508038,273.9345469,2.588195501,0.169350261,48.86082638,129.0532389,1.5
0,4,0.071863372,213.8526793,2.107661765,0.191321327,63.80381304,110.5229015,1.5
0,4,0.888012126,151.5857553,2.487989737,0.138122094,56.71981632,169.2502128,1.5
